STATEFP,COUNTYFP,TRACTCE,GEOID,NAME,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON
"36","081","010701","36081010701","107.01",Census Tract 107.01,G5020,S,"1600761","1367482","+40.7852880","-073.9056759"
"36","005","022102","36005022102","221.02",Census Tract 221.02,G5020,S,"78293","0","+40.8376586","-073.9160957"
"36","005","014701","36005014701","147.01",Census Tract 147.01,G5020,S,"138921","0","+40.8342262","-073.9053292"
"36","005","017901","36005017901","179.01",Census Tract 179.01,G5020,S,"76723","0","+40.8348350","-073.9151867"
"36","005","018301","36005018301","183.01",Census Tract 183.01,G5020,S,"67872","0","+40.8286371","-073.9208133"
"36","005","023703","36005023703","237.03",Census Tract 237.03,G5020,S,"100593","0","+40.8600426","-073.8995706"
"36","005","026702","36005026702","267.02",Census Tract 267.02,G5020,S,"166368","0","+40.8722664","-073.9001190"
"36","005","023702","36005023702","237.02",Census Tract 237.02,G5020,S,"47892","0","+40.8606441","-073.8973195"
"36","005","033201","36005033201","332.01",Census Tract 332.01,G5020,S,"114036","0","+40.8594756","-073.8692323"
"36","005","040303","36005040303","403.03",Census Tract 403.03,G5020,S,"87550","0","+40.8696839","-073.8934711"
"36","005","040302","36005040302","403.02",Census Tract 403.02,G5020,S,"62696","0","+40.8678463","-073.8921974"
"36","005","006300","36005006300","63",Census Tract 63,G5020,S,"1046237","9963","+40.8242061","-073.9287302"
"36","005","015900","36005015900","159",Census Tract 159,G5020,S,"103601","0","+40.8223738","-073.8935545"
"36","005","005001","36005005001","50.01",Census Tract 50.01,G5020,S,"97889","0","+40.8249970","-073.8778533"
"36","005","039901","36005039901","399.01",Census Tract 399.01,G5020,S,"151654","0","+40.8635111","-073.8936406"
"36","005","044902","36005044902","449.02",Census Tract 449.02,G5020,S,"156698","0","+40.8988257","-073.8689887"
"36","005","025100","36005025100","251",Census Tract 251,G5020,S,"209329","0","+40.8565412","-073.9077336"
"36","005","022404","36005022404","224.04",Census Tract 224.04,G5020,S,"92720","0","+40.8527445","-073.8663009"
"36","005","023704","36005023704","237.04",Census Tract 237.04,G5020,S,"67466","0","+40.8562675","-073.9019054"
"36","005","015300","36005015300","153",Census Tract 153,G5020,S,"236838","0","+40.8334809","-073.8941430"
"36","005","004600","36005004600","46",Census Tract 46,G5020,S,"135340","0","+40.8224189","-073.8691775"
"36","005","014100","36005014100","141",Census Tract 141,G5020,S,"177165","0","+40.8237653","-073.9122950"
"36","005","033000","36005033000","330",Census Tract 330,G5020,S,"206129","0","+40.8616561","-073.8660255"
"36","005","005902","36005005902","59.02",Census Tract 59.02,G5020,S,"69637","0","+40.8241299","-073.9234195"
"36","005","019500","36005019500","195",Census Tract 195,G5020,S,"219844","0","+40.8304774","-073.9225235"
"36","005","028100","36005028100","281",Census Tract 281,G5020,S,"129158","0","+40.8837896","-073.8906453"
"36","005","031600","36005031600","316",Census Tract 316,G5020,S,"177170","0","+40.8619716","-073.8487247"
"36","005","028600","36005028600","286",Census Tract 286,G5020,S,"200018","0","+40.8491849","-073.8477752"
"36","005","016400","36005016400","164",Census Tract 164,G5020,S,"164578","0","+40.8322025","-073.8248470"
"36","005","036800","36005036800","368",Census Tract 368,G5020,S,"169530","0","+40.8753072","-073.8559420"
"36","005","037600","36005037600","376",Census Tract 376,G5020,S,"124765","0","+40.8745386","-073.8692050"
"36","005","023301","36005023301","233.01",Census Tract 233.01,G5020,S,"119112","0","+40.8495612","-073.9087543"
"36","005","042800","36005042800","428",Census Tract 428,G5020,S,"169199","0","+40.8945094","-073.8457030"
"36","005","006900","36005006900","69",Census Tract 69,G5020,S,"187977","0","+40.8218666","-073.9157567"
"36","005","003100","36005003100","31",Census Tract 31,G5020,S,"154703","0","+40.8098988","-073.9056901"
"36","005","039000","36005039000","390",Census Tract 390,G5020,S,"181646","0","+40.8812352","-073.8607600"
"36","005","038800","36005038800","388",Census Tract 388,G5020,S,"148659","0","+40.8795982","-073.8553665"
"36","005","005600","36005005600","56",Census Tract 56,G5020,S,"136188","0","+40.8326118","-073.8790757"
"36","005","014500","36005014500","145",Census Tract 145,G5020,S,"181445","0","+40.8315110","-073.9070315"
